Question,Generated Answer,Actual Answer,Jaccard Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Time,Response Time (s),,,Results for accuracy on first run for DialoGPT-based chatbot ,min,low_1,med,upp_3,max
"I have scratchy throat, phlegm, loss of appetite, fatigue. I am pharmacist in research facility. My son had 3rd contact. He has flu symptoms. He was quarantined. We are waiting for the results for his contact. Do I need to test myself?","Hi, Yes, it might be that after the pneumonia the recovery time lasts up to one week however I recommend you to do a chest CT to see if the pneumonia has gone completely. Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. Jnikolla,Pulmonologist","Cluster cases   I would recommend staying at home, rest, drink fluids and monitoring your temperature.   You may have COVID-19 or another illness. If you are otherwise healthy, await test results. Keep utensils, linens separate and washed. Use good hand washing and disinfect surfaces. If the test is positive, please have screening of all family members in your home. Avoid contact with others.   Would you like to video or text chat with me?",0.07070707071,2.70E-155,0.1333333285,0,0.1333333285,8.318599939,0.008318599939,,,,,,,,
"Can animal byproducts spread coronavirus? Do I have to worry about milk, eggs, or fruits?","Take all precautions. Take all precautions possible to try to avoid catching Coronavirus. Wash your hands often with soap & water, avoid touching your eyes, nose & mouth, stay home as much as possible, cover your mouth & nose with tissue if you sneeze or cough, clean & disinfect  frequently touched surfaces often & if you have fever, cough and difficulty breathing seek medical care.",No   we have no evidence of any concern with such spread.   It may be worth wiping all packages that come i nto the house with lysol wipes   Would you like to video or text chat with me?,0.08860759494,1.04E-231,0.1445783084,0,0.1204819228,9.018100023,0.009018100023,,,,,,,,
Why are so many people with diabetes dying from the coronavirus? It’s really frightening me.,"Not well stablished. For now, it is known that having chronic disease, including diabetes (not specified type), increases the risk of death. However, the outbreak is so new that evidence is not enough robust to give a number yet. Anyway, It is recommendable to assume that you are at higher risk and strict protection should be taken.","Immunocompromised    body is busy dealing with diabetes, not as much resiliancy remaining to fight viral symptoms, and subsequent opportunistic infections  Would you like to video or text chat with me?",0.06849315068,1.10E-231,0.1298701252,0,0.1038960993,7.957100034,0.007957100034,,,,,,,,
I'm just a bit concerned as I have a sore throat and coughing a little bit as a result of my sore throat. My upper body is also aching a bit. Is this a cause for concern?,Likely not corona. Sounds more like seasonal allergy or a mild cold. GArgle with warm salt water and use meds you have at home. Ask questions on this forum - don't go out unless you really really have to.,"Possible virus. This is likely a viral infection. If you have a fever and/or the cough or sore throat get worse, you should be examined by your doctor. If you've been exposed to a particular illness, such as strep or the flu or coronavirus, you may need to be tested.For now, rest, drink fluids, take acetaminophen or ibuprofen as needed if you have no medical contraindication.",0.04761904762,2.03E-155,0.1123595457,0.01941747107,0.1123595457,8.844499946,0.008844499946,,,,,,,,
Will Lysol wipes kill coronavirus? How long can coronavirus live on household surfaces?,"Respected user, hi I evaluated whole long query in total details thoroughly .* Now only options left for you is holistic healing with herbs & other things.* Current respiratory details & status are not mentioned with symptoms to   figure out for the pneumonia, but for mental condition I can say that only   & only thing which can help you to any extent is   very deep meditation sessions on highly regular basis   2-3 hours of dedicated YOGA daily    which will give your inner soul & subcouncious mind the level of peace   you are lacking at present .Hope this helps you .Welcome for any further assistance .Thanks  for using Healthcaremagic.com & giving me an opportunity to assistWishing you a healthy life ahead .Regards dear take care.",Several days   Lysol should  be good.    Seehttps://www.wired.com/story/coronavirus-disinfectant-cleaning-guide/  Would you like to video or text chat with me?,0.03539823009,8.07E-232,0.05084745493,0,0.05084745493,7.796800017,0.007796800017,,,,,,,,
Can I catch coronavirus on public transportation from someone who has it? How long do germs on public transportation last?,"Hi, Yes, it might be that after the pneumonia the recovery time lasts up to one week however I recommend you to do a chest CT to see if the pneumonia has gone completely. Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. Jnikolla,Pulmonologist","Coronavirus lives   New coronavirus may live on surfaces for a few hours or a few days depending on the type of surface, temperature or humidity.   One report indicated that new coronavirus can survive on hard surfaces for up to 72 hours and on cardboard for up to 24 hours.   Would you like to video or text chat with me?",0.0875,3.59E-155,0.1647058774,0.01941747074,0.1647058774,8.658100009,0.008658100009,,,,,,,,
Is it necessary to get tested for the corona virus if you arrive back in South Africa after visiting Zimbabwe and Victoria falls as part of a group?,Not at all. Your.,It depends.   If the visited place has a high rate of coronavirus infections to take some precautions is important such as if you develop fever or cough or any other coronavirus infection symptoms.   To be tested is desired but will you be able to get tested? In some places testing kits are reserved to very sick and hospitalized patient. Self quarantine in cooperation with your doctor is the way to go.  Would you like to video or text chat with me?,0,2.10E-237,0,0,0,7.999700069,0.007999700069,,,,,,,,
Hi. This COVID-19 outbreak is scary. I got screened this week and it was negative. But prior to screening I had a week of continuous dry coughs and also throat was sore. I've put myself in a quarantine. What next? Do I still need to screen again?,"Unlikely   It could be, however going out right now is dangerous to you and others.   If you don't have it yet going out risks getting it. If you have it you can spread it. Try to access a thorough consult on the phone or virtually. Keep chatting we are here for you.  Would you like to video or text chat with me?","Screening test if. If you develop symptoms of dry cough, fever and/or shortness of breath, consider re testing since the test may convert to a positive test if infected. Other causes should be considered including an allergic reaction. Try one dose of an antihistamine and gauge improvement. Stay at home for three days if there is no fever. .",0.09574468085,1.36E-78,0.1836734644,0.01739129935,0.1632653011,10.5286001,0.0105286001,,,,,,,,
"Is it true (or a myth) that coronavirus will not survive hotter climates. As summer approaches, is it expected to reduce in tropical summers at least.",In brief: Hard to say.The questions you pose are more appropriate to ask your local physicians and health plans.As a USA based site we have no access to or information about the changing local recommendations for world travel around the globe nor would we know what your plan covers. Find a local health contact & contact your health plan for guidance.,"Coronavirus.    Yes, according to previous knowledge, most virus including coronavirus likely will not survive hotter climates.   I would expect or hope this will die down in summer time. Nevertheless, this is new coronavirus, let's wait and see. I also think that with strong human intervention, the virus may reduce or be eliminated before summer.   Would you like to video or text chat with me?",0.0612244898,9.50E-232,0.1153846104,0,0.07692307194,8.468699932,0.008468699932,,,,,,,,
I heard ACE inhibitors might exacerbate coronavirus. I also heard NSAIDs might do the same. Does this mean any common meds could have an unexpected effect during coronavirus?,"Thanks for your question on Healthcare Magic.I can understand your concern.Yes, you should definitely consult another doctor.Pneumonia is lung infection and it should be treated promptly and correctly.And chest x ray is must for the diagnosis of pneumonia.So better to consult another doctor and get done chest x ray to rule out pneumonia.Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks.",Coronavirus and ACEI.   Recent publications including the one from the lancet showed COVID-19 binds to ACE-2 receptor on target cells for entrance.   The expression of ACE-2 receptor is substantially increased in patients with diabetes who were treated with ACE inhibitors or ARB. NSAIDS has the similar effect. All medications can have some unexpected side effects.    Would you like to video or text chat with me?,0.11,1.23E-231,0.1964285664,0,0.1607142807,8.296499968,0.008296499968,,,,,,,,
"I have had mild chest pain for over a week. it now seems more persistent and pronounced. I don't have shortness of breath or any other COVID-19 symptoms, except some fatigue. I have been traveling a lot in high risk areas. Should I get tested?","Test if you can. if you have access test, or consult telephonically don't go to a public space.","Yes   I would advise screening due to your exposure.   Fever is very commonly associated with COVID-19. Stay at home, rest, drink fluids and monitor your temperature. Arrange the testing which also  may include a chest image with your PCP.  Since your have been traveling, a pulmonary embolism is another possible cause of your shortness of breath.   Would you like to video or text chat with me?",0.07352941176,1.27E-232,0.1388888854,0,0.1388888854,9.72420001,0.00972420001,,,,,,,,
Ons het teruggekom vanaf oostenryk op 8 Maart..reeds 13 dae gelede. Het tans seer keel maar ook nasale drip. wat staan my te doen?,In brief: Unlikely.Not at this point.Treat what you have currently symptomatically. Stock up now whilst not yet on lockdown. I don't feel that you qualify for a Covid test right now. Keep posting your questions.,"COVID19   even though your have no fever or shortness of breath, your travel history fits criteria to be tested.   I suggest you get tested for COVID19 - speak with your GP to advise further, self isolate in the meanwhile  Would you like to video or text chat with me?",0.07042253521,2.94E-155,0.1333333284,0,0.1333333284,9.13530004,0.00913530004,,,,,,,,
"I have shortness of breath and are worried, I don’t have a cough or sore throat, so they will not test me, should I do a private test?","Thanks for your concern. The dry cough basically has a few causes....First is Post nasal drip, second  Gastroesophageal reflux'heart burn', third Cough variant aasthma, forth Heart failure and finally Interstitial lung disease. Based on the information if you don't have a heart burn or reflux of food or sour brash into your mouth, you are having a cough variant asthma, make sure you do not have difficulty breathing. There is something called cardiac asthma, but it's not much of a likelihood given your young age.I advice you that you give up on smoking as it causes a multitude of problems and may well be related to the cough you've been having now called as 'smokers cough'.It's time that you stop smoking, avoid animal dancers, mites, pollens and any thing that would exacerbate the illness, make sure you don't have a heart burn, and if still the cough persists , meet a pulmo neologism and get a Pulmonary function test with methacholine challenge.","Shortness of breath. Covid testing is hard to come by. At 37 you are in a lower risk group.  And I doubt you could get a test. Keep isolated for two weeks. I know we have been ordering tests through HealthTap, but that does not lead to getting the test done, due to shortages. (3/21/20).",0.1045751634,3.20E-155,0.1904761863,0.01904761523,0.1785714244,8.808399916,0.008808399916,,,,,,,,
How do you get HPV on the cervix? Is it from skin to skin contact during intercourse from a partner’s genital touching the cervix? Thank you.,"Hello, The cause of chronic pneumonia is mandatory to be evaluated here with culture of bronchial lavage fluid, CT scan of the thorax and other supportive evaluations. Unless the root cause is identified, one cannot get the complete management chart. Hope I have answered your query. Feel free to post further doubts. Thank you. Regards,Dr. Bhagyesh V. Patel, General Surgeon",Basically the HPV virus is transferred within fluids generated during intercourse.   A mechanical skin contact appears to be part of the process but defining the exact amount of contact required is difficult. The genital strains of HPV are specific to those locations. There are other HPV strains that cause things like skin warts but these are different.  Would you like to video or text chat with me?,0.09375,4.41E-155,0.1923076873,0.03199999502,0.1730769181,8.338199973,0.008338199973,,,,,,,,
My 2year old Son has had a dry cough and a runny nose since thursday . He's not talking yet so it is difficult to tell if he has any trouble breathing so I'm concerned. He does not have temperature ?,"Hello, According to history, yes, it might be pneumonia, but you should do a chest x-ray. Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Jnikolla.","Observatn is enough.   By looking at your child you'll know if he is having breathing difficulties.   Cough with a runny nose is common in children. You should be concerned only if he is refusing to play and eat, or if he develops breathing difficulties. Having a fever doesn't mean he has the Coronavirus. He is more likely to be infected with any of the common infections in your area of Gauteng.  Would you like to video or text chat with me?",0.08860759494,1.69E-155,0.1797752764,0.01851851435,0.1573033662,9.163500071,0.009163500071,,,,,,,,
Can I test?No known contact with Corona  but been in contact with with Congo dr friend 7march. She is still healthy now. I had Slight Sore throat wed 11 &12 March . phlegm and red eyes. Temp seemed ok. Got thermometer .ok. 19 felt better but coughing.,"Thanks for your concern. The dry cough basically has a few causes....First is Post nasal drip, second  Gastroesophageal reflux'heart burn', third Cough variant aasthma, forth Heart failure and finally Interstitial lung disease. Based on the information if you don't have a heart burn or reflux of food or sour brash into your mouth, you are having a cough variant asthma, make sure you do not have difficulty breathing. There is something called cardiac asthma, but it's not much of a likelihood given your young age.I advice you that you give up on smoking as it causes a multitude of problems and may well be related to the cough you've been having now called as 'smokers cough'.It's time that you stop smoking, avoid animal dancers, mites, pollens and any thing that would exacerbate the illness, make sure you don't have a heart burn, and if still the cough persists , meet a pulmo neologism and get a Pulmonary function test with methacholine challenge.","Per RSA NICD:   Seek care right away if difficulty breathing, other severe symptoms.  Seek testing if sick, PLUS known COVID-19 contact, or travel to high risk country, or been in facility treating people with COVID-19, or severe pneumonia of unknown cause.Call 0800 029 999 for test. If sick or possibly exposed (not both), stay home.Seek consultation if sick.If known exposure & not sick, self-isolate 14 days.  Would you like to video or text chat with me?",0.06395348837,2.48E-155,0.1202185747,0,0.1202185747,8.653599977,0.008653599977,,,,,,,,
"I’m so Scared that I will die if I get the coronavirus, due to type1 diabetes?","Take all precautions. Take all precautions possible to try to avoid catching Coronavirus. Wash your hands often with soap & water, avoid touching your eyes, nose & mouth, stay home as much as possible, cover your mouth & nose with tissue if you sneeze or cough, clean & disinfect  frequently touched surfaces often & if you have fever, cough and difficulty breathing seek medical care.","Coronavirus. Stay calm. Most people with coronavirus infection only get mild respiratory symptoms, especially among younger patients. Diabetes and use of ACEI or ARB may increase your risk of infection. Practicing common sense of prevention is critical during this outbreak crisis. Avoid risk exposure, wash hand, wear mask as needed. Get tested if you develop symptoms. Effect drugs are coming. .",0.08,4.20E-155,0.1523809474,0.01652892062,0.1142857093,8.092000008,0.008092000008,,,,,,,,
A 2 year complaining that his head is sore. We gave him panado in the morning and at midday. He can't sleep he keeps waking up crying its painful. Should I take him to a Dr or hospital?,Hello and Welcome to ‘Ask A Doctor’ service. I have reviewed your query and here is my advice. According to the history it might be a viral situation or an allergy.  Don't worry so much she is under medical control. Regards Dr.Jolanda,"Fever?   Start by call Pediatrician ASAP.   if high fe ver or projectie vomiting take to ER .  take to ER  if inconsolable and cannot get pedicatrician IF mild respiratory or GI symptoms likely virus and want to make sure adequately hydrated and may just watch, isolate from contact , and give chicken soup . work on soothing and disstraction Keep in touch with pediatrician.   Would you like to video or text chat with me?",0.0412371134,6.34E-232,0.06060605579,0,0.06060605579,7.921499968,0.007921499968,,,,,,,,
I have covid 19 symptoms?,Without any details it's impossible to say.,"Can talk with doctor   Doctors can give you the up-to-date information.   Video consultations available (start over and click on Talk-to-Doctor). We have informational posts on our Healthtap.com/blog. As the US president has given mistaken information at various times during this pandemic, be sure to check with doctors and the CDC website. People usually should not be tested without symptoms or direct exposure. (3/21/20)  Would you like to video or text chat with me?",0.01428571429,3.33E-235,0.02857142677,0,0.02857142677,7.880699992,0.007880699992,,,,,,,,
"I've been in contact with a possible covid-19 case who is waiting on results. My brother seems to be I'll with Corona symptoms and I'd like to get advice on how to help him, as his safety will ensure my safety and prevent the spread of the virus.","Isolate. No symptoms no test. You really do not need testing if there are no symptoms, but act like  you are contagious. avoid contact with people for 14 days and only consult your GP if get symptoms.","Stay home. Family members should stay home and avoid contact with your brother. Keep linens, bath area and utensils separated. He should monitor his temperature, drink fluids, rest and your family should be screened for Coronavirus.",0.1,1.59E-78,0.1904761855,0.05633802317,0.1587301537,8.997099996,0.008997099996,,,,,,,,
"I have mild irritation in my chest but I am not coughing, I just feel a tingling sensation on my thought. I have no fever, no aches should I be worried about COVID 19?","Hello, According to history, yes, it might be pneumonia, but you should do a chest x-ray. Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Jnikolla.","Probably. We should all be cautious , not worried about Covid-19. It is prudent for us all to be socially isolating, washing our hands, supplementing with vits. D and C and working on making the best of it.  BE grateful for the things that are going well in your life, reach out with verbal and video support for ALL the loved ones and even people you just know are isolated with support. Don't bother to worry.",0.05813953488,5.02E-232,0.15053763,0,0.1290322536,10.12049997,0.01012049997,,,,,,,,
"Swollen tonsils, cough, and feeling slightly feverish.","Hi, Yes, it might be that after the pneumonia the recovery time lasts up to one week however I recommend you to do a chest CT to see if the pneumonia has gone completely. Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. Jnikolla,Pulmonologist","Coronavirus possible. Seek care right away if difficulty breathing, other severe symptoms.Seek testing if sick, PLUS known COVID-19 contact, or travel to high risk country, or been in facility treating people with COVID-19, or severe pneumonia of unknown cause.Call 0800 029 999 for test. If sick or possibly exposed (not both), stay home.Seek consultation if sick.If known exposure & not sick, self-isolate 14 days.",0.03157894737,9.28E-232,0.0612244849,0,0.0612244849,10.72819996,0.01072819996,,,,,,,,
I have a sore throat  and a bit of a cough. This morning i coughed up mucus with what look like blood. Is this a sign of covid 19?,Get tested. If you can not find a place to get tested self-quarantine yourself for 2 weeks. You can use over the counter drugs for symptomatic treatment in the mean time. If sore throat get worse this could be strep throat need a culture to be taken from your throat by your doctor followed by antibiotic. If shortness of breath gets worse call the hospital for the inpatient treatment could be for Covid-19.,"Source of bleeding   There are many causes of the small amount of blood in your sputum. You may have a nasal or upper airway source.    Strep infection, influenza are possible causes. COVID-19 typically is associated with fever, dry cough and/or shortness of breath.. Please contact your PCP for an evaluation, possible chest image and evaluation of the source of the bleeding.   Would you like to video or text chat with me?",0.09803921569,1.27E-78,0.2056074716,0.02877697342,0.2056074716,10.11029994,0.01011029994,,,,,,,,
"Symptoms include irritation in the throat, dry cough, trouble breathing properly, headache. However not really a sign of a fever. Temperature is about 35 degrees. Should I get tested?","Hello, According to history, yes, it might be pneumonia, but you should do a chest x-ray. Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Jnikolla.","Many causes.   Most cases of COVID-19 with symptoms are associated with fever, however milder cases do occur. Your shortness of breath and difficulty breathing may have a number of causes and should be evaluated.   Please call your PCP. Avoid dust, mold, smoke, animal dander, pollen. Your symptoms also are consistent with an allergic reaction.  Would you like to video or text chat with me?",0.09333333333,6.56E-232,0.1904761858,0,0.1428571382,10.30849993,0.01030849993,,,,,,,,
I am 63 living in Jhb and have had a tight chest and sore throat and wet cough for more than a week ?,"Virus. You have a viral respiratory tract infection and the absence of fever is reassuring at this time. Should fever or shortness of breath develop and if you're in an area where covid 19 is present, you should then call your MD for instructions. For now, drink adequate fluids, gargle with warm salt water. I also recommend using zinc lozenges and take acetaminophen. .","Flu like sx.   Stay at home, monitor your temperature, drink fluids and rest.   If your cough is associated with fever and/or does not begin to improve, please see your PCP.  You may have bacterial bronchitis -avoid smoke, dust, mold, animal dander and pollen. Influenza and COVID are associated with fever. The cough with COVID is typically dry. If you have underlying lung disease, test for CoV/flu.  Would you like to video or text chat with me?",0.1111111111,4.53E-155,0.2033898255,0,0.186440673,8.041000009,0.008041000009,,,,,,,,
Chronic sore throat for 4 months. Not strep. No fever. Bloody green phlegm for a while. Sinus congestion and pressure sometimes. Bad breath in back of throat sometimes. Maybe post nasal drip. 2 wks. Of amoxicillin didn’t help. Is this mild COVID-19?,In brief: Unlikely.Not at this point.Treat what you have currently symptomatically. Stock up now whilst not yet on lockdown. I don't feel that you qualify for a Covid test right now. Keep posting your questions.,"Bacterial likely. Use nasal saline rinses, a nasal steroid and discuss the use of Augmentin for 10 days with your PCP. It is more likely that you have a bacterial infection. An examination of your mouth or uploaded photo to a HT virtual consultation is important. Avoid smoke and if you are a smoker, please consider a biopsy of the area. .",0.07692307692,2.56E-155,0.142857138,0.04123710873,0.142857138,8.935799956,0.008935799956,,,,,,,,
"Been sneezing / stuffy nose and slight sore throat since returning from France, temperature is okay, not coughing or high fever symptoms, should I be alarmed?","Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice. Yes, you are right. If you don't pay attention in common cold, it can complicate as pneumonia. So follow these steps for better symptomatic relief in common cold.1. Drink plenty of fluids orally and keep yourself hydrated.2. Do warm water gargles and steam inhalation 4-5 times a day.3. Avoid cold foods like ice cream, cold drinks etc.4. Take treatment for common cold regularly.5. Watch for persistent fever, chest pain, Yellowish green expectoration, breathing difficulty etc. If any of these symptom appears then immediately get done chest x ray.6. Avoid smoking and alcohol if you have these habits. Hope I have answered your query.Let me know if I can assist you further.","Simple Cold but..... Sounds like simple Cold, But under the current health challenges of the world, it's best to be preemptive. And because Covid-19 is an infectious disease mostly transmitted through respiratory fluid droplets, One should first follow the WHO/CDC  current guidelines on hygiene. Then gargle with salt-water or vinegar-water after each meal/bedtime plus take Aleve or Ibuprofen for soreness/fever...   .",0.03896103896,3.00E-155,0.07361962735,0,0.07361962735,8.871600032,0.008871600032,,,,,,,,
Can I go for Coronavirus testing if my nose is blocked and I have traveled from a high risk country?,"Sounds risky. Using symptoms of fever, cough, or runny nose to screen for COVID-19 is not accurate because colds and flu have such symptoms. COVID testing is by nasal swab, but there's a shortage of test kits in this pandemic. Only local resources know local testing sites, times, restrictions. Even a negative test does not guarantee one does not have COVID-19. Safest for people to stay away from ICU patients.","Coronavirus testing. Yes, get tested if symptomatic (early symptoms could be mild respiratory symptoms and nonspecific) or self quarantine given your high risk of exposure. .",0.05063291139,1.08E-231,0.1234567859,0,0.07407406981,7.68780005,0.00768780005,,,,,,,,
