Question,Bot Response,Expected Response,Jaccard Similarity,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,Response Time,,Results for accuracy on first run for DialoGPT-based chatbot ,min,low_1,med,upp_3,max
"I have scratchy throat, phlegm, loss of appetite, fatigue. I am pharmacist in research facility. My son had 3rd contact. He has flu symptoms. He was quarantined. We are waiting for the results for his contact. Do I need to test myself?",No testing needed. The symptoms you describe are characteristic of a viral upper respiratory tract infection and the absence of fever is reassuring at this time. If fever does not develop or a cough does develop or develop,"Cluster cases   I would recommend staying at home, rest, drink fluids and monitoring your temperature.   You may have COVID-19 or another illness. If you are otherwise healthy, await test results. Keep utensils, linens separate and washed. Use good hand washing and disinfect surfaces. If the test is positive, please have screening of all family members in your home. Avoid contact with others.   Would you like to video or text chat with me?",0.5476190476,5.33E-232,0.1914893573,0,0.1489361658,12.2428694,,,,,,,
"Can animal byproducts spread coronavirus? Do I have to worry about milk, eggs, or fruits?",No    not as far as I know.     you do not have to worry much about it.  Would you like to video or text chat with me?  Would youlike to video or voice chat with me? Would you like me to narrate your concerns?Thank you.  Would like to video chat with you.Wish you good health!,No   we have no evidence of any concern with such spread.   It may be worth wiping all packages that come i nto the house with lysol wipes   Would you like to video or text chat with me?,0.9032258065,0.1746139174,0.3636363587,0.2249999951,0.3636363587,21.5784505,,,,,,,
Why are so many people with diabetes dying from the coronavirus? Itâ€™s really frightening me.,It's a worldwide epidemic. People with diabetes are at higher risk for the virus because they have to work harder and be more careful with their glucose levels. It's not just a local thing. People with any kind of medical condition are at higher risks because they have more complications and can easily be turned into infected. It's called supply and demand and it's happening worldwide. It,"Immunocompromised    body is busy dealing with diabetes, not as much resiliancy remaining to fight viral symptoms, and subsequent opportunistic infections  Would you like to video or text chat with me?",0.7272727273,9.52E-232,0.1038960993,0,0.1038960993,20.5884811,,,,,,,
I'm just a bit concerned as I have a sore throat and coughing a little bit as a result of my sore throat. My upper body is also aching a bit. Is this a cause for concern?,"If your upper body is sore, your upper body must be sore as well. If your upper body also has a sore throat, your upper and lower must also be sore. This can be a precursor to having COVID-19. If your symptoms are worsening or your symptoms are going","Possible virus. This is likely a viral infection. If you have a fever and/or the cough or sore throat get worse, you should be examined by your doctor. If you've been exposed to a particular illness, such as strep or the flu or coronavirus, you may need to be tested.For now, rest, drink fluids, take acetaminophen or ibuprofen as needed if you have no medical contraindication.",0.6666666667,9.24E-232,0.2469135757,0,0.2469135757,16.745954,,,,,,,
Will Lysol wipes kill coronavirus? How long can coronavirus live on household surfaces?,It depends on the material and the process used to make it. For now it is best to keep a distance of at least 6 feet between people who are not allergic or have recently visited a high risk area. For now we concentrate our efforts on keeping the virus at bay. (Mar. 2020).   The goal is to keep the virus at sub saharan levels.   However,Several days   Lysol should  be good.    Seehttps://www.wired.com/story/coronavirus-disinfectant-cleaning-guide/  Would you like to video or text chat with me?,0.5714285714,7.60E-232,0.05714285319,0,0.05714285319,21.558668,,,,,,,
Can I catch coronavirus on public transportation from someone who has it? How long do germs on public transportation last?,"If you are a passenger and the person you are talking to has it, you are quite at risk of catching it.    If you are a driver and the person who has it, he she is quite at risk.  Would you like to video or text chat with me? I can understand your concern.  Would like to hear your voice.  Would","Coronavirus lives   New coronavirus may live on surfaces for a few hours or a few days depending on the type of surface, temperature or humidity.   One report indicated that new coronavirus can survive on hard surfaces for up to 72 hours and on cardboard for up to 24 hours.   Would you like to video or text chat with me?",0.75,0.1640534953,0.3703703654,0.1747572766,0.3456790074,20.484584,,,,,,,
Is it necessary to get tested for the corona virus if you arrive back in South Africa after visiting Zimbabwe and Victoria falls as part of a group?,"It is not necessary but highly recommended.   If you have been in contact with someone who has tested positive for the virus, you should get tested.   However, the outbreak is so new that testing isn't feasible at this time.  Would you like to video or text chat with me? I can text chat with you. ",It depends.   If the visited place has a high rate of coronavirus infections to take some precautions is important such as if you develop fever or cough or any other coronavirus infection symptoms.   To be tested is desired but will you be able to get tested? In some places testing kits are reserved to very sick and hospitalized patient. Self quarantine in cooperation with your doctor is the way to go.  Would you like to video or text chat with me?,0.8,0.1234613083,0.3571428523,0.1353383411,0.3571428523,19.6156048,,,,,,,
Hi. This COVID-19 outbreak is scary. I got screened this week and it was negative. But prior to screening I had a week of continuous dry coughs and also throat was sore. I've put myself in a quarantine. What next? Do I still need to screen again?,"If you meet criteria for testing, then yes. Screening is only for people who have tested positive. You can still have a sore throat if you have had a sore throat for a week or two","Screening test if. If you develop symptoms of dry cough, fever and/or shortness of breath, consider re testing since the test may convert to a positive test if infected. Other causes should be considered including an allergic reaction. Try one dose of an antihistamine and gauge improvement. Stay at home for three days if there is no fever. .",0.7741935484,2.15E-155,0.2051282006,0.02222221758,0.2051282006,12.1271758,,,,,,,
"Is it true (or a myth) that coronavirus will not survive hotter climates. As summer approaches, is it expected to reduce in tropical summers at least.","It is expected to decrease in the summer. The corona virus has a limited range of 2 miles from the equator. It is best to stay indoors and away from others..... .. Stay home and adopt strict hygiene measures: hand washing, alcohol use  Would you like to Hoffman video or text chat","Coronavirus.    Yes, according to previous knowledge, most virus including coronavirus likely will not survive hotter climates.   I would expect or hope this will die down in summer time. Nevertheless, this is new coronavirus, let's wait and see. I also think that with strong human intervention, the virus may reduce or be eliminated before summer.   Would you like to video or text chat with me?",0.7179487179,0.08145662643,0.2799999951,0.1061946853,0.2799999951,18.5939866,,,,,,,
I heard ACE inhibitors might exacerbate coronavirus. I also heard NSAIDs might do the same. Does this mean any common meds could have an unexpected effect during coronavirus?,No. ACE inhibitors are not antagonists of the virus. ACE3 antagonists are ACE2 antagonists. You are thinking of ACE2 antagonists which are commonly mislabeled as NSAIDs. NSAIDs are commonly mislabelled as NSAIDs because they have no receptor agonist action. ACE3 and NSAIDs are the,Coronavirus and ACEI.   Recent publications including the one from the lancet showed COVID-19 binds to ACE-2 receptor on target cells for entrance.   The expression of ACE-2 receptor is substantially increased in patients with diabetes who were treated with ACE inhibitors or ARB. NSAIDS has the similar effect. All medications can have some unexpected side effects.    Would you like to video or text chat with me?,0.7111111111,2.36E-155,0.1666666623,0.01960783841,0.1666666623,17.6855367,,,,,,,
"I have had mild chest pain for over a week. it now seems more persistent and pronounced. I don't have shortness of breath or any other COVID-19 symptoms, except some fatigue. I have been traveling a lot in high risk areas. Should I get tested?",If you have a history of international travel recently then yes definitely get tested. I would also recommend getting a chest x-ray and CBC (complete blood count). If both these are normal then no need to worry for,"Yes   I would advise screening due to your exposure.   Fever is very commonly associated with COVID-19. Stay at home, rest, drink fluids and monitor your temperature. Arrange the testing which also  may include a chest image with your PCP.  Since your have been traveling, a pulmonary embolism is another possible cause of your shortness of breath.   Would you like to video or text chat with me?",0.6136363636,2.53E-155,0.219780215,0.03921568165,0.219780215,13.0469936,,,,,,,
Ons het teruggekom vanaf oostenryk op 8 Maart..reeds 13 dae gelede. Het tans seer keel maar ook nasale drip. wat staan my te doen?,???   I don't understand your question.   I Alicia I am a student in the Netherlands and I am currently taking a course on social distancing. I have no idea what you are talking about.,"COVID19   even though your have no fever or shortness of breath, your travel history fits criteria to be tested.   I suggest you get tested for COVID19 - speak with your GP to advise further, self isolate in the meanwhile  Would you like to video or text chat with me?",0.5714285714,3.21E-155,0.2058823481,0.0499999952,0.2058823481,13.9057848,,,,,,,
"I have shortness of breath and are worried, I donâ€™t have a cough or sore throat, so they will not test me, should I do a private test?","If you have a high fever or have had a sore throat for a few days, they will not do a test.   However, if you have a sore throat and are otherwise unwell, they will test you.   If you have a fever, cough and are otherwise well, they will do","Shortness of breath. Covid testing is hard to come by. At 37 you are in a lower risk group.  And I doubt you could get a test. Keep isolated for two weeks. I know we have been ordering tests through HealthTap, but that does not lead to getting the test done, due to shortages. (3/21/20).",0.575,3.41E-155,0.1842105217,0.02173912559,0.1578947323,17.6755528,,,,,,,
How do you get HPV on the cervix? Is it from skin to skin contact during intercourse from a partnerâ€™s genital touching the cervix? Thank you.,"It can be from any of the numerous cervical mucous membranes including cervix, adenovirus, and the cervix itself.   Usually, the vagina is the first line of defense against these viruses.   But, as it is often the case, many infections can be transmitted through the vagina, including",Basically the HPV virus is transferred within fluids generated during intercourse.   A mechanical skin contact appears to be part of the process but defining the exact amount of contact required is difficult. The genital strains of HPV are specific to those locations. There are other HPV strains that cause things like skin warts but these are different.  Would you like to video or text chat with me?,0.6216216216,2.43E-155,0.1149425239,0.01818181338,0.1149425239,17.7617323,,,,,,,
My 2year old Son has had a dry cough and a runny nose since thursday . He's not talking yet so it is difficult to tell if he has any trouble breathing so I'm concerned. He does not have temperature ?,"If he doesn't have a temperature he won't have a cough or runny nose. If he does have a temperature it will be hard to tell if it's a cold or a cold. Usually a cold is accompanied by a fever, which means the doctor","Observatn is enough.   By looking at your child you'll know if he is having breathing difficulties.   Cough with a runny nose is common in children. You should be concerned only if he is refusing to play and eat, or if he develops breathing difficulties. Having a fever doesn't mean he has the Coronavirus. He is more likely to be infected with any of the common infections in your area of Gauteng.  Would you like to video or text chat with me?",0.6756756757,6.11E-232,0.2499999955,0.0175438552,0.2499999955,14.8983298,,,,,,,
Can I test?No known contact with Corona  but been in contact with with Congo dr friend 7march. She is still healthy now. I had Slight Sore throat wed 11 &12 March . phlegm and red eyes. Temp seemed ok. Got thermometer .ok. 19 felt better but coughing.,If temp is ok then no need to worry     Unless you have a history of Covid-19 infection or if you develop breathing problems  Would you like,"Per RSA NICD:   Seek care right away if difficulty breathing, other severe symptoms.  Seek testing if sick, PLUS known COVID-19 contact, or travel to high risk country, or been in facility treating people with COVID-19, or severe pneumonia of unknown cause.Call 0800 029 999 for test. If sick or possibly exposed (not both), stay home.Seek consultation if sick.If known exposure & not sick, self-isolate 14 days.  Would you like to video or text chat with me?",0.5882352941,3.19E-79,0.1818181779,0.03883494778,0.1818181779,11.0255393,,,,,,,
"Iâ€™m so Scared that I will die if I get the coronavirus, due to type1 diabetes?","Not at all. You will be fine. You will have a much higher risk of dying from any cause than just diabetes. If you are older than 60 you will have a higher risk. But as you get older more likely you will be able to handle it. So get as much exercise as you can, eat healthy food as you please, and stay hydrated","Coronavirus. Stay calm. Most people with coronavirus infection only get mild respiratory symptoms, especially among younger patients. Diabetes and use of ACEI or ARB may increase your risk of infection. Practicing common sense of prevention is critical during this outbreak crisis. Avoid risk exposure, wash hand, wear mask as needed. Get tested if you develop symptoms. Effect drugs are coming. .",0.6904761905,3.02E-155,0.1386138565,0.01724137432,0.1386138565,20.4921343,,,,,,,
A 2 year complaining that his head is sore. We gave him panado in the morning and at midday. He can't sleep he keeps waking up crying its painful. Should I take him to a Dr or hospital?,If he is not improving or if the pain is not going away then probably a Dr.   Unless you are concerned about Covid-19 and the possibility of worsening it.   Call the hospital they can give you more information.  Would you like to video or,"Fever?   Start by call Pediatrician ASAP.   if high fe ver or projectie vomiting take to ER .  take to ER  if inconsolable and cannot get pedicatrician IF mild respiratory or GI symptoms likely virus and want to make sure adequately hydrated and may just watch, isolate from contact , and give chicken soup . work on soothing and disstraction Keep in touch with pediatrician.   Would you like to video or text chat with me?",0.5777777778,0.05891004694,0.1874999953,0.09009008539,0.1666666619,15.7595432,,,,,,,
I have covid 19 symptoms?,"If you are a smoker, you are at greater risk for it. If you are not a smoker, your risk is low. If you have a chronic disease, your risk for it is low. Smoking increases your risk substantially. If you do not smoke, your risk of death from the virus is low. You are 68 and one in four billion people does not have the disease. Smoking increases the risk of death. Smoking increases mortality. Smoking increases risk of","Can talk with doctor   Doctors can give you the up-to-date information.   Video consultations available (start over and click on Talk-to-Doctor). We have informational posts on our Healthtap.com/blog. As the US president has given mistaken information at various times during this pandemic, be sure to check with doctors and the CDC website. People usually should not be tested without symptoms or direct exposure. (3/21/20)  Would you like to video or text chat with me?",0.5306122449,1.06E-231,0.1188118765,0,0.1188118765,24.2033163,,,,,,,
"I've been in contact with a possible covid-19 case who is waiting on results. My brother seems to be I'll with Corona symptoms and I'd like to get advice on how to help him, as his safety will ensure my safety and prevent the spread of the virus.",If your brother has the corona virus you should isolate yourself and get tested. If your brother has a high fever and is otherwise unwell he should be tested as well.,"Stay home. Family members should stay home and avoid contact with your brother. Keep linens, bath area and utensils separated. He should monitor his temperature, drink fluids, rest and your family should be screened for Coronavirus.",0.6774193548,4.02E-155,0.1785714236,0.05970148755,0.1785714236,12.9403061,,,,,,,
"I have mild irritation in my chest but I am not coughing, I just feel a tingling sensation on my thought. I have no fever, no aches should I be worried about COVID 19?","If you have not traveled or been in contact with anyone with confirmed COVID 19, your symptoms are probably mild. If you have traveled or been close to someone with confirmed COVi 19, your symptom pattern is unlikely to be mild. If your symptoms are worsening or your symptoms are spreading","Probably. We should all be cautious , not worried about Covid-19. It is prudent for us all to be socially isolating, washing our hands, supplementing with vits. D and C and working on making the best of it.  BE grateful for the things that are going well in your life, reach out with verbal and video support for ALL the loved ones and even people you just know are isolated with support. Don't bother to worry.",0.7317073171,2.44E-155,0.1956521695,0.01754385515,0.1956521695,16.5744849,,,,,,,
"Swollen tonsils, cough, and feeling slightly feverish.",Have you travelled or come into contact with a corona virus patient? Could very well be tonsillitis and not corona virus. If you are not having significant SOB self isolation and monitor your temperature. If you have traveled to high risk areas get a coronavirus test and a telephonic consult. If you do not have significant SOB telephonic then no need to worry..   Best to stay,"Coronavirus possible. Seek care right away if difficulty breathing, other severe symptoms.Seek testing if sick, PLUS known COVID-19 contact, or travel to high risk country, or been in facility treating people with COVID-19, or severe pneumonia of unknown cause.Call 0800 029 999 for test. If sick or possibly exposed (not both), stay home.Seek consultation if sick.If known exposure & not sick, self-isolate 14 days.",0.5833333333,1.07E-78,0.1747572766,0.03124999501,0.1747572766,23.2605534,,,,,,,
I have a sore throat  and a bit of a cough. This morning i coughed up mucus with what look like blood. Is this a sign of covid 19?,No   not at all.   Mucous is very unlikely to be COVID 19.    More likely to be SOB or Influenza.  Would you like to video or text chat with me?  Would you rather have text chat with someone?Feel free to pm me.,"Source of bleeding   There are many causes of the small amount of blood in your sputum. You may have a nasal or upper airway source.    Strep infection, influenza are possible causes. COVID-19 typically is associated with fever, dry cough and/or shortness of breath.. Please contact your PCP for an evaluation, possible chest image and evaluation of the source of the bleeding.   Would you like to video or text chat with me?",0.7608695652,0.1116709421,0.2758620644,0.1730769186,0.2528735586,17.5691052,,,,,,,
"Symptoms include irritation in the throat, dry cough, trouble breathing properly, headache. However not really a sign of a fever. Temperature is about 35 degrees. Should I get tested?",If you have access to testing you should do it. If not consult your doctor. If you have access get a coronavirus test and self isolate for 2 weeks. If you develop a sore throat call your doctor for a prescription for a nasal spray and antihistamine..   If headache and irritation,"Many causes.   Most cases of COVID-19 with symptoms are associated with fever, however milder cases do occur. Your shortness of breath and difficulty breathing may have a number of causes and should be evaluated.   Please call your PCP. Avoid dust, mold, smoke, animal dander, pollen. Your symptoms also are consistent with an allergic reaction.  Would you like to video or text chat with me?",0.5853658537,2.89E-155,0.2093023209,0.01869158394,0.2093023209,17.5717187,,,,,,,
I am 63 living in Jhb and have had a tight chest and sore throat and wet cough for more than a week ?,"Sounds more like a viral cold. Most likely a non-specific viral cold. An upper respiratory tract infection would be more likely if your symptoms are worsening or your cough is non-specific. If your cough is not specific, your best step is to self-isolate. Call your local doctor or check with local health department. Most likely your symptoms will be directed","Flu like sx.   Stay at home, monitor your temperature, drink fluids and rest.   If your cough is associated with fever and/or does not begin to improve, please see your PCP.  You may have bacterial bronchitis -avoid smoke, dust, mold, animal dander and pollen. Influenza and COVID are associated with fever. The cough with COVID is typically dry. If you have underlying lung disease, test for CoV/flu.  Would you like to video or text chat with me?",0.6744186047,0.03964436189,0.2020201972,0.0472440896,0.2020201972,20.2713851,,,,,,,
Chronic sore throat for 4 months. Not strep. No fever. Bloody green phlegm for a while. Sinus congestion and pressure sometimes. Bad breath in back of throat sometimes. Maybe post nasal drip. 2 wks. Of amoxicillin didnâ€™t help. Is this mild COVID-19?,"Probably not COVID. Your symptoms are more like seasonal allergy or a mild cold. Sinus irritation can be from strep throat infection, a cold or the","Bacterial likely. Use nasal saline rinses, a nasal steroid and discuss the use of Augmentin for 10 days with your PCP. It is more likely that you have a bacterial infection. An examination of your mouth or uploaded photo to a HT virtual consultation is important. Avoid smoke and if you are a smoker, please consider a biopsy of the area. .",0.6341463415,3.16E-232,0.1388888845,0,0.1388888845,10.2160639,,,,,,,
"Been sneezing / stuffy nose and slight sore throat since returning from France, temperature is okay, not coughing or high fever symptoms, should I be alarmed?",Not at all. The Coronavirus is very mild and only really an issue if you sneeze or cough extremely hard. Coughing and shortness of breath are also frequent symptoms of the Coronavirua.    If you have traveled to endemic areas or met with people who have travelled there,"Simple Cold but..... Sounds like simple Cold, But under the current health challenges of the world, it's best to be preemptive. And because Covid-19 is an infectious disease mostly transmitted through respiratory fluid droplets, One should first follow the WHO/CDC  current guidelines on hygiene. Then gargle with salt-water or vinegar-water after each meal/bedtime plus take Aleve or Ibuprofen for soreness/fever...   .",0.5909090909,2.73E-155,0.1414141365,0.01886791962,0.1212121163,18.4040358,,,,,,,
Can I go for Coronavirus testing if my nose is blocked and I have traveled from a high risk country?,Yes. You can get a corona virus test done at some clinics.   You need to contact one of the clinics in your country to arrange the test. France and Germany are the two main countries testing currently.   Would you like to video or text chat with me?  Would you prefer to text chat with my voice? I can understand your concern.,"Coronavirus testing. Yes, get tested if symptomatic (early symptoms could be mild respiratory symptoms and nonspecific) or self quarantine given your high risk of exposure. .",0.6666666667,9.75E-232,0.1690140799,0,0.1690140799,20.7669243,,,,,,,
"My 5 year old daughter has just come down with a 39 degree fever, sneezing, runny nose and cough. Should we get her tested?","Yes   yes you should, but it will cost extra.   The cost of testing is usually not covered by the healthcare plan.   But yes we should get her tested.  Would you like to video or text chat with me? I can text chat with you.  Would You like to video chat with me, or","Maybe. Has she been around anyone who has tested positive for COVID-19?  Is she having shortness of breath or labored breathing?  If so, then, yes, consider getting her tested.   If not, it is more likely that she has the flu or some other virus.  If it seems like more than just a regular cold, reach out to her pediatrician for more advice.",0.6428571429,3.09E-155,0.2022471861,0.0185185136,0.2022471861,18.5986526,,,,,,,
I am a quadriplegic and have a tight chest and slight difficulty breathing.  Overnight I started feeling like I need to clear my throat. I flew home to Joburg from CPT 8 days ago & have been self isolating as a precaution. ?,Sounds more like a viral respiratory tract infection.   Could call your GP if youd like to video or text chat with him.   If you have access to testing then do it. If not then do not,"Monitor.   Stay at home, monitor your temperature, drink fluids and rest.   Nasal congestion and post nasal drip is not typically associated with COVID-19. Watch for dry cough, fever and if your shortness of breath does not resolve, discuss whether you need an inhaler, chest physiotherapy and/or testing. If you have a trach, watch for signs of infection such as more secretions or a change in color .  Would you like to video or text chat with me?",0.6428571429,0.06912757028,0.3578947325,0.1467889865,0.3157894694,13.054499,,,,,,,
"Hi I am 39 years old and returned from Germany 19 days ago. Yesterday I started getting a sore throat, runny nose. Today I have sinus pressure and a headache with a blocked nose, throat seems to be improving. Should I get tested. If so how?",Don't go to a doctor. You need to go to a testing centre which will be able to give you a prescription for this medication. You can also check out www.healthtap.com/blog/cov,"Stay home. Stay at home, rest, drink fluids and monitor your temperature. Your symptoms are more consistent with a cold or sinus infection. Nasal saline and a decongestant may be helpful. If you develop COVID symptoms including dry cough, fever, and/or shortness of breath, testing is indicated. Report fever and shortness of breath to your PCP.",0.7297297297,5.39E-232,0.1351351306,0,0.1081081036,13.0147265,,,,,,,
"Hi I am 39 years old and have flu like symptoms as of yesterday. Runny nose, sore throat. No fever yet. I returned from Germany 19 days ago. Should I get tested for cov19?",If you have a history of international travel recently you should be screened for COVID 19. I would suggest phone or online consultation rather than requiring a visit to a doctor. TEsting is that you are a smoker and that you have a chronic disease like heart arrhythmia or,If you get fever yes. but from what we know it may bee a little late to get the chines virus after so many days. Monitor tempreture.,0.7142857143,3.03E-155,0.1230769183,0.02816900944,0.1230769183,16.5399632,,,,,,,
If you have wolf Parkinson white syndrome does this make you more of a risk with Covid 19?,"No. The wolf in the pack has no effect on the pack as a whole. The pack in the pack is the same as the pack of wolves in the pack. The pack of wolves is the same pack as the pack that has wolf Parkinson. The pack is the pack of pack that has no effect. The pack has alpha 1,2,3,4,5,6,7","Avoid cold/ice... Though untreated WPW Syndrome can be regarded as pre-existing chronic condition, there is no current evidence that one is more susceptible to Covid-19, an infectious disease mostly transmitted through Respiratory Fluid Droplets. Best to follow WHO/CDC guideline on hygiene. Plus avoid cold/ice  drinks/foods. Drink warm water/tea, even chicken soup. Aleve or ibuprofen can be helpful for fever/soreness.",0.4693877551,1.02E-231,0.1333333293,0,0.1066666626,21.3799363,,,,,,,
Criteria for COVID test?,"If you have a high fever and are concerned about COVID-19, call your GP. Most likely you have a mild cold and not COVID-20, but if you have symptoms that are not resolving you should get tested. Otherwise self isolate and follow the recommendations of your local authorities..","Real vs. textbook. Real-life criteria is different because we don't have enough tests, supplies, or medical staff around the world at this time (March 2020). Textbook criteria are  suspected COVID in hospitalized persons or in those with underlying medical conditions; or persons who got symptoms less than 14 days after (1) contact with a suspect or confirmed COVID patient or (2) travel through high-risk COVID area.",0.7446808511,7.11E-232,0.1086956474,0,0.0652173865,15.9749552,,,,,,,
"I have been feeling sick for a couple of days now and tried self medication but does not seem to help. I suffer from Polycystic Kidney disease, low blood pressure, Anemic, Endometriosis, Chronic sinus.",If you are having trouble breathing call your doctor or go to ER they can give you instructions to stop smoking and start taking meds. Also make sure you do not smoke or start a new pack of cigarettes. Smoking causes pneumonia and increases your risk of complication,"Screen sputum. You may have a bacterial illness such as bronchitis, pneumonia or a sinus infection.  Your PCP may collect sputum, screen for Strep/influenza. COVID-19 is usually associated with a dry cough, but secondary infection may occur. Please see your PCP.",0.6097560976,9.79E-232,0.1066666617,0,0.1066666617,14.7703076,,,,,,,
