Question,Bot Response,Expected Response,Jaccard Similarity,BLEU Score,ROUGE-1,ROUGE-2,ROUGE-L,Response Time,,Results for accuracy on second run for DialoGPT-based chatbot ,min,low_1,med,upp_3,max,,Results for accuracy on average for DialoGPT-based chatbot ,min,low_1,med,upp_3,max,,low_1,med
"I have scratchy throat, phlegm, loss of appetite, fatigue. I am pharmacist in research facility. My son had 3rd contact. He has flu symptoms. He was quarantined. We are waiting for the results for his contact. Do I need to test myself?","If you have no symptoms and your contact has symptoms, then no need to test yourself. Unless you have a history of international travel recently or were in contact with someone who has tested positive for Covid","Cluster cases   I would recommend staying at home, rest, drink fluids and monitoring your temperature.   You may have COVID-19 or another illness. If you are otherwise healthy, await test results. Keep utensils, linens separate and washed. Use good hand washing and disinfect surfaces. If the test is positive, please have screening of all family members in your home. Avoid contact with others.   Would you like to video or text chat with me?",0.625,2.21E-155,0.2526315745,0.03773584463,0.2526315745,11.9626672,,,,,,,,,,,,,0.2432432396,,,1.14E-155,1.75E-01
"Can animal byproducts spread coronavirus? Do I have to worry about milk, eggs, or fruits?",No.     you do not have to worry much about any of the above.   Would you like to video or text chat with me?  Would you prefer to video or email chat with me? I can understand your concern.  Would you rather have text chat with someone or video chat with me.  Would You like to video chat with someone?Want to,No   we have no evidence of any concern with such spread.   It may be worth wiping all packages that come i nto the house with lysol wipes   Would you like to video or text chat with me?,0.9333333333,0.1620171924,0.4705882303,0.2195121902,0.3823529362,21.2835115,,,,,,,,,,,,,0.2769230729,,,1.56E-155,1.59E-01
Why are so many people with diabetes dying from the coronavirus? Itâ€™s really frightening me.,Because we eat a lot of sugar and have a lot of it. People with diabetes are at higher risk for heart disease because they are more likely to have it. It's not as simple as sugar causing heart disease. People with chronic diseases are at higher risks because they have to work harder to maintain their health. It's complicated. Diabetes causes inflammation in the blood sugar and increases,"Immunocompromised    body is busy dealing with diabetes, not as much resiliancy remaining to fight viral symptoms, and subsequent opportunistic infections  Would you like to video or text chat with me?",0.7058823529,2.93E-155,0.1351351304,0.02247190572,0.1351351304,20.467936,,,,,,,,,,,,,,,,1.13E-231,1.62E-01
I'm just a bit concerned as I have a sore throat and coughing a little bit as a result of my sore throat. My upper body is also aching a bit. Is this a cause for concern?,"If your upper body is aching a little bit and your cough is coming from your throat then you should get done a chest x ray and CBC (complete blood count). If both these are normal then no need to worry much. I hope this helps.Thank you doctor, I appreciate","Possible virus. This is likely a viral infection. If you have a fever and/or the cough or sore throat get worse, you should be examined by your doctor. If you've been exposed to a particular illness, such as strep or the flu or coronavirus, you may need to be tested.For now, rest, drink fluids, take acetaminophen or ibuprofen as needed if you have no medical contraindication.",0.75,3.60E-155,0.252631574,0.03478260378,0.2105263109,16.6796135,,,,,,,,,,,,rouge_llow_1,rouge_lmed,rouge_lupp3,rouge_lmax,,
Will Lysol wipes kill coronavirus? How long can coronavirus live on household surfaces?,If you are washing your hands frequently with soap and water with soap and warm water they can kill.    If you are washing hands frequently with hand sanitizer and antibacterial products they can kill the virus-80%100 percent  Would you like to video or text chat with me?  Would you prefer to text chat with someone?  Would You like to video chat with me,Several days   Lysol should  be good.    Seehttps://www.wired.com/story/coronavirus-disinfectant-cleaning-guide/  Would you like to video or text chat with me?,0.7,0.1370264174,0.377358486,0.2769230729,0.377358486,21.3180911,,,,,,,,,,,,0.1188118765,0.1666666619,0.2058823481,0.3636363587,rouge_1_low_1,rouge_1_med
Can I catch coronavirus on public transportation from someone who has it? How long do germs on public transportation last?,"If you are in an area where people are actively avoiding catching COVID-19, you are probably doing it right.   If you are in a zone of high risk, like my office or grocery stores, you are quite at risk of getting it.    But, to be sure, GET TESTED!  Would you like to video or text chat","Coronavirus lives   New coronavirus may live on surfaces for a few hours or a few days depending on the type of surface, temperature or humidity.   One report indicated that new coronavirus can survive on hard surfaces for up to 72 hours and on cardboard for up to 24 hours.   Would you like to video or text chat with me?",0.6041666667,0.1232478276,0.2380952331,0.1346153796,0.2380952331,20.3466779,,,,,,,,,,,,0.1194029802,0.1573033666,0.2197802152,0.3783783734,0.1311475368,0.1818181771
Is it necessary to get tested for the corona virus if you arrive back in South Africa after visiting Zimbabwe and Victoria falls as part of a group?,"Not necessary   However, the higher the temperature the better the virus can survive in the absence of direct sunlight.   If the virus is persistently raised the corona infection will likely pick up steam and spread.   Would you like to video or text chat with me?  Would you prefer to text chat with my?  Would",It depends.   If the visited place has a high rate of coronavirus infections to take some precautions is important such as if you develop fever or cough or any other coronavirus infection symptoms.   To be tested is desired but will you be able to get tested? In some places testing kits are reserved to very sick and hospitalized patient. Self quarantine in cooperation with your doctor is the way to go.  Would you like to video or text chat with me?,0.8,0.121743182,0.3396226368,0.155038755,0.3396226368,19.3315138,,,,,,,,,,,,0.1030927787,0.1538461495,0.2105263109,0.3823529362,0.131578942,0.1777777728
Hi. This COVID-19 outbreak is scary. I got screened this week and it was negative. But prior to screening I had a week of continuous dry coughs and also throat was sore. I've put myself in a quarantine. What next? Do I still need to screen again?,If you have a history of previous exposure then you should definitely get screened. Screening is only for confirmed COVID- 19 cases. If your history is clear then no need to screen. If your,"Screening test if. If you develop symptoms of dry cough, fever and/or shortness of breath, consider re testing since the test may convert to a positive test if infected. Other causes should be considered including an allergic reaction. Try one dose of an antihistamine and gauge improvement. Stay at home for three days if there is no fever. .",0.6857142857,2.20E-155,0.2564102519,0.02247190551,0.2307692262,12.0030769,,,,,,,,,,,,,,,,0.1238938003,0.1720430066
"Is it true (or a myth) that coronavirus will not survive hotter climates. As summer approaches, is it expected to reduce in tropical summers at least.","It is expected to decrease in the summer. However, there has not been any confirmed cases of direct coronavirus infection in the summer yet. However, the mortality rate for the virus is currently 39-40 percent in the summer in the US. So it is possible that the virus may not survive in the summer if the weather","Coronavirus.    Yes, according to previous knowledge, most virus including coronavirus likely will not survive hotter climates.   I would expect or hope this will die down in summer time. Nevertheless, this is new coronavirus, let's wait and see. I also think that with strong human intervention, the virus may reduce or be eliminated before summer.   Would you like to video or text chat with me?",0.6097560976,1.32E-78,0.23913043,0.05405404915,0.2173912995,18.4284344,,,,,,,,,,,,,,,,rouge_1_upp_3,rouge_1_max
I heard ACE inhibitors might exacerbate coronavirus. I also heard NSAIDs might do the same. Does this mean any common meds could have an unexpected effect during coronavirus?,No. ACE inhibitors are not antagonists to COVID-19. ACE3 antagonists are ACE3 antagonists. COVID-39 is primarily an AR15 receptor blocker. ACE inhibitor is an ACE inhibitor. ACE inhibitor antagonists are AR10 receptor antagonists. ACE inhibitors ARE antagonists to AR10 receptor. ACE inhibitor inhibition is,Coronavirus and ACEI.   Recent publications including the one from the lancet showed COVID-19 binds to ACE-2 receptor on target cells for entrance.   The expression of ACE-2 receptor is substantially increased in patients with diabetes who were treated with ACE inhibitors or ARB. NSAIDS has the similar effect. All medications can have some unexpected side effects.    Would you like to video or text chat with me?,0.6739130435,2.28E-155,0.155844152,0.02040815867,0.129870126,17.4852694,,,,,,,,,,,,,,,,0.2105263115,0.3703703654
"I have had mild chest pain for over a week. it now seems more persistent and pronounced. I don't have shortness of breath or any other COVID-19 symptoms, except some fatigue. I have been traveling a lot in high risk areas. Should I get tested?",Yes   yes you should  Would you like to video or text chat with me?  Would you prefer to video or phone chat with me? Would you like me to text chat with you?Yes  Would,"Yes   I would advise screening due to your exposure.   Fever is very commonly associated with COVID-19. Stay at home, rest, drink fluids and monitor your temperature. Arrange the testing which also  may include a chest image with your PCP.  Since your have been traveling, a pulmonary embolism is another possible cause of your shortness of breath.   Would you like to video or text chat with me?",0.6097560976,0.1100945354,0.3013698594,0.2045454507,0.3013698594,12.8768029,,,,,,,,,,,,,,,,0.241758237,0.4324324274
Ons het teruggekom vanaf oostenryk op 8 Maart..reeds 13 dae gelede. Het tans seer keel maar ook nasale drip. wat staan my te doen?,"? I don't understand your question. I don't have a problem with your question. If you have no problem with the question, then I don't see the need to answer it. I can understand your concern. I","COVID19   even though your have no fever or shortness of breath, your travel history fits criteria to be tested.   I suggest you get tested for COVID19 - speak with your GP to advise further, self isolate in the meanwhile  Would you like to video or text chat with me?",0.625,3.87E-155,0.2539682493,0.05063290662,0.2539682493,13.6372222,,,,,,,,,,,,,,,,0.2173913002,0.4705882303
"I have shortness of breath and are worried, I donâ€™t have a cough or sore throat, so they will not test me, should I do a private test?","If you do not have a cough and sore throat you do not qualify for a private test. If you do have a cough, cough less than 10 days and a sore throat less than 10days you do not need a test. If sore throat less then 10 days you do not meet criteria for a private testing","Shortness of breath. Covid testing is hard to come by. At 37 you are in a lower risk group.  And I doubt you could get a test. Keep isolated for two weeks. I know we have been ordering tests through HealthTap, but that does not lead to getting the test done, due to shortages. (3/21/20).",0.6097560976,3.41E-155,0.1891891847,0.02127659086,0.1891891847,17.491215,,,,,,,,,,,,,,,,,
How do you get HPV on the cervix? Is it from skin to skin contact during intercourse from a partnerâ€™s genital touching the cervix? Thank you.,"It can be from any part of the vagina.    Usually it is seen on the outside of the vagina, but it can be anywhere from the base of the vagina to the tip of the torsion tube.   Either way it is highly contagious and should be treated promptly.  Would you like to",Basically the HPV virus is transferred within fluids generated during intercourse.   A mechanical skin contact appears to be part of the process but defining the exact amount of contact required is difficult. The genital strains of HPV are specific to those locations. There are other HPV strains that cause things like skin warts but these are different.  Would you like to video or text chat with me?,0.6578947368,0.0584239149,0.2352941128,0.09009008527,0.2352941128,17.5356319,,,,,,,,,,,,,,,,rouge_2_med,rouge_2_upp_3
My 2year old Son has had a dry cough and a runny nose since thursday . He's not talking yet so it is difficult to tell if he has any trouble breathing so I'm concerned. He does not have temperature ?,If he does not have a temperature it is impossible to guess what is going on. If he does have a temperature he is unlikely to have a respiratory tract infection.   Best to isolate him and get done clinical examination of respiratory system and chest x ray if,"Observatn is enough.   By looking at your child you'll know if he is having breathing difficulties.   Cough with a runny nose is common in children. You should be concerned only if he is refusing to play and eat, or if he develops breathing difficulties. Having a fever doesn't mean he has the Coronavirus. He is more likely to be infected with any of the common infections in your area of Gauteng.  Would you like to video or text chat with me?",0.7222222222,2.11E-155,0.1538461492,0.01694914796,0.1538461492,14.8313235,,,,,,,,,,,,,,,,0.0175438552,0.03539822526
Can I test?No known contact with Corona  but been in contact with with Congo dr friend 7march. She is still healthy now. I had Slight Sore throat wed 11 &12 March . phlegm and red eyes. Temp seemed ok. Got thermometer .ok. 19 felt better but coughing.,Hello and Welcome to ‘Ask A Doctor’ service. I have reviewed your query and here is my advice. According to the history it might be pneumonia or other,"Per RSA NICD:   Seek care right away if difficulty breathing, other severe symptoms.  Seek testing if sick, PLUS known COVID-19 contact, or travel to high risk country, or been in facility treating people with COVID-19, or severe pneumonia of unknown cause.Call 0800 029 999 for test. If sick or possibly exposed (not both), stay home.Seek consultation if sick.If known exposure & not sick, self-isolate 14 days.  Would you like to video or text chat with me?",0.4909090909,2.13E-232,0.08888888478,0,0.08888888478,10.8727391,,,,,,,,,,,,,,,,0.01851851427,0.04999999651
"Iâ€™m so Scared that I will die if I get the coronavirus, due to type1 diabetes?","If you are a Type I diabetic then you are at higher risk for the Coronavirus. If you are a non-smoker then you are less likely to have COVID-19. If you smoke cigars then you are more at risk for the virus.. If you are not a smoker, then you are low risk.   But be very","Coronavirus. Stay calm. Most people with coronavirus infection only get mild respiratory symptoms, especially among younger patients. Diabetes and use of ACEI or ARB may increase your risk of infection. Practicing common sense of prevention is critical during this outbreak crisis. Avoid risk exposure, wash hand, wear mask as needed. Get tested if you develop symptoms. Effect drugs are coming. .",0.6744186047,9.11E-232,0.09195401847,0,0.09195401847,20.2565121,,,,,,,,,,,,,,,,0,0.03571428079
A 2 year complaining that his head is sore. We gave him panado in the morning and at midday. He can't sleep he keeps waking up crying its painful. Should I take him to a Dr or hospital?,"Call your General Physician and see what they recommend. He may need panado again in the near future. He may also need an Iron tablet for his headache. Call the hospital to see what they suggest. If he needs a chest X Ray, then go to the ER","Fever?   Start by call Pediatrician ASAP.   if high fe ver or projectie vomiting take to ER .  take to ER  if inconsolable and cannot get pedicatrician IF mild respiratory or GI symptoms likely virus and want to make sure adequately hydrated and may just watch, isolate from contact , and give chicken soup . work on soothing and disstraction Keep in touch with pediatrician.   Would you like to video or text chat with me?",0.6666666667,6.30E-232,0.1030927787,0,0.1030927787,15.7997614,,,,,,,,,,,,,,,,,
I have covid 19 symptoms?,You are more than welcome to post on this forum if you have any more questions. I will be happy to answer any more. Feel free to ask any more. I will do the same. Thanks. Chandra Shekhar. HiWelcome to Healthcaremagic.comI have evaluated your query thoroughly.*   The data available about the causative pathogen is inconclusive.*  The data is suggestive of causative pathogens but the causative organism,"Can talk with doctor   Doctors can give you the up-to-date information.   Video consultations available (start over and click on Talk-to-Doctor). We have informational posts on our Healthtap.com/blog. As the US president has given mistaken information at various times during this pandemic, be sure to check with doctors and the CDC website. People usually should not be tested without symptoms or direct exposure. (3/21/20)  Would you like to video or text chat with me?",0.58,1.05E-231,0.1415929154,0,0.1238938004,24.5113731,,,,,,,,,,,,,,,,,
"I've been in contact with a possible covid-19 case who is waiting on results. My brother seems to be I'll with Corona symptoms and I'd like to get advice on how to help him, as his safety will ensure my safety and prevent the spread of the virus.","If your brother is not having any symptoms and if the COVID-19 infection does not spread through the air, you are probably safe. Best would still be to isolate yourself and keep your distance from others.","Stay home. Family members should stay home and avoid contact with your brother. Keep linens, bath area and utensils separated. He should monitor his temperature, drink fluids, rest and your family should be screened for Coronavirus.",0.6578947368,1.11E-231,0.1290322531,0.02857142357,0.09677418855,13.6761196,,,,,,,,,,,,,,,,,
"I have mild irritation in my chest but I am not coughing, I just feel a tingling sensation on my thought. I have no fever, no aches should I be worried about COVID 19?","If you have no fever or cough you probably do not have COVID 19. Try to do a chest x ray and if you have access get tested. If you have access to testing you can be tested, but you will need to go into a private facility to do so. ","Probably. We should all be cautious , not worried about Covid-19. It is prudent for us all to be socially isolating, washing our hands, supplementing with vits. D and C and working on making the best of it.  BE grateful for the things that are going well in your life, reach out with verbal and video support for ALL the loved ones and even people you just know are isolated with support. Don't bother to worry.",0.6511627907,6.54E-232,0.1020408117,0,0.1020408117,16.7223823,,,,,,,,,,,,,,,,,
"Swollen tonsils, cough, and feeling slightly feverish.","Have you checked your temperature lately?lieutenant dan? Is it getting better? Please stay home, rest and drink fluids until the fever goes away. Also, if you have traveled recently to another country, please take a picture of your hand holding your phone and upload it here. I will be happy to help you further. Take care. Lieutenant dan.Hello and Welcome to ‘Ask A Doctor’ service. I have","Coronavirus possible. Seek care right away if difficulty breathing, other severe symptoms.Seek testing if sick, PLUS known COVID-19 contact, or travel to high risk country, or been in facility treating people with COVID-19, or severe pneumonia of unknown cause.Call 0800 029 999 for test. If sick or possibly exposed (not both), stay home.Seek consultation if sick.If known exposure & not sick, self-isolate 14 days.",0.5576923077,9.52E-232,0.1238938003,0,0.1238938003,24.6640295,,,,,,,,,,,,,,,,,
I have a sore throat  and a bit of a cough. This morning i coughed up mucus with what look like blood. Is this a sign of covid 19?,"No not at all.   Throat pain can be from a strep throat infection (antibiotics needed), a cold or influenza, EB virus (antibiotic usually not used), or from some other cause such as allergies or irritants.   Usually, a person sees the doctor (call","Source of bleeding   There are many causes of the small amount of blood in your sputum. You may have a nasal or upper airway source.    Strep infection, influenza are possible causes. COVID-19 typically is associated with fever, dry cough and/or shortness of breath.. Please contact your PCP for an evaluation, possible chest image and evaluation of the source of the bleeding.   Would you like to video or text chat with me?",0.5208333333,5.07E-232,0.06521738654,0,0.06521738654,17.7744534,,,,,,,,,,,,,,,,,
"Symptoms include irritation in the throat, dry cough, trouble breathing properly, headache. However not really a sign of a fever. Temperature is about 35 degrees. Should I get tested?",If formula is not working or you have difficulty breathing call your doctor. If headache is not severe call your doctor for advise. If irritation is not going away or goes into the bloodstream then call your doctor to evaluate you. If worsening or a fever is seen then call your physician. If dry cough does not persist,"Many causes.   Most cases of COVID-19 with symptoms are associated with fever, however milder cases do occur. Your shortness of breath and difficulty breathing may have a number of causes and should be evaluated.   Please call your PCP. Avoid dust, mold, smoke, animal dander, pollen. Your symptoms also are consistent with an allergic reaction.  Would you like to video or text chat with me?",0.625,3.65E-155,0.2022471862,0.03571428079,0.1348314559,17.5759814,,,,,,,,,,,,,,,,,
I am 63 living in Jhb and have had a tight chest and sore throat and wet cough for more than a week ?,"Sounds like a viral cold. Call your General Physician and report your symptoms. They may want to see you, send you to be tested and possibly even see you, depending on the circumstances.. In any event, isolate yourself from others, keep hands clean, rest and drink fluids, take acetaminophen. If you get  a high fever or cough,","Flu like sx.   Stay at home, monitor your temperature, drink fluids and rest.   If your cough is associated with fever and/or does not begin to improve, please see your PCP.  You may have bacterial bronchitis -avoid smoke, dust, mold, animal dander and pollen. Influenza and COVID are associated with fever. The cough with COVID is typically dry. If you have underlying lung disease, test for CoV/flu.  Would you like to video or text chat with me?",0.7142857143,2.84E-155,0.2222222173,0.0156249951,0.2037036987,20.5409195,,,,,,,,,,,,,,,,,
Chronic sore throat for 4 months. Not strep. No fever. Bloody green phlegm for a while. Sinus congestion and pressure sometimes. Bad breath in back of throat sometimes. Maybe post nasal drip. 2 wks. Of amoxicillin didnâ€™t help. Is this mild COVID-19?,No it is not. Must have sinusitis or have had contact with someone with sinusitis. Must have had sinusitis in past. Must have,"Bacterial likely. Use nasal saline rinses, a nasal steroid and discuss the use of Augmentin for 10 days with your PCP. It is more likely that you have a bacterial infection. An examination of your mouth or uploaded photo to a HT virtual consultation is important. Avoid smoke and if you are a smoker, please consider a biopsy of the area. .",0.4736842105,2.16E-232,0.1269841235,0,0.1269841235,10.038836,,,,,,,,,,,,,,,,,
"Been sneezing / stuffy nose and slight sore throat since returning from France, temperature is okay, not coughing or high fever symptoms, should I be alarmed?","If your symptoms are consistent with a common cold, you should be treated as such. If your symptoms are sporadic, intermittent, or don't resolve within a day or two, then you should be concerned.. Otherwise, continue to sneeze and sneeze. If your temp is stable, then no need to worry","Simple Cold but..... Sounds like simple Cold, But under the current health challenges of the world, it's best to be preemptive. And because Covid-19 is an infectious disease mostly transmitted through respiratory fluid droplets, One should first follow the WHO/CDC  current guidelines on hygiene. Then gargle with salt-water or vinegar-water after each meal/bedtime plus take Aleve or Ibuprofen for soreness/fever...   .",0.6341463415,8.94E-232,0.1290322533,0,0.1290322533,18.2517662,,,,,,,,,,,,,,,,,
Can I go for Coronavirus testing if my nose is blocked and I have traveled from a high risk country?,Yes. You can have a nasal swab test. It will not tell you if you have corona virus or not. It will tell you if there are any underlying medical conditions that may predispose you to more complications. It will also tell you if your immune system is compromised or not.   The test itself will not tell the difference.  Would you like to,"Coronavirus testing. Yes, get tested if symptomatic (early symptoms could be mild respiratory symptoms and nonspecific) or self quarantine given your high risk of exposure. .",0.7058823529,8.51E-232,0.0909090862,0,0.0909090862,20.4383776,,,,,,,,,,,,,,,,,
"My 5 year old daughter has just come down with a 39 degree fever, sneezing, runny nose and cough. Should we get her tested?","Yes   call your doctor for a referral to a local testing site.   She may need treatment at her earliest possible as she may not have a fever, but her cough and sneezing are concerning.   Would you like to video or text chat with me? I can understand your concern.  Would you prefer to text","Maybe. Has she been around anyone who has tested positive for COVID-19?  Is she having shortness of breath or labored breathing?  If so, then, yes, consider getting her tested.   If not, it is more likely that she has the flu or some other virus.  If it seems like more than just a regular cold, reach out to her pediatrician for more advice.",0.6428571429,9.75E-232,0.1489361652,0,0.1489361652,18.4767101,,,,,,,,,,,,,,,,,
I am a quadriplegic and have a tight chest and slight difficulty breathing.  Overnight I started feeling like I need to clear my throat. I flew home to Joburg from CPT 8 days ago & have been self isolating as a precaution. ?,If you are a quarantined person then you are more at risk of getting the virus. If you are a normal person then no need to worry.   I would stay home and isolate yourself.  Would you,"Monitor.   Stay at home, monitor your temperature, drink fluids and rest.   Nasal congestion and post nasal drip is not typically associated with COVID-19. Watch for dry cough, fever and if your shortness of breath does not resolve, discuss whether you need an inhaler, chest physiotherapy and/or testing. If you have a trach, watch for signs of infection such as more secretions or a change in color .  Would you like to video or text chat with me?",0.5853658537,1.81E-155,0.2173913002,0.03809523401,0.1956521698,12.9547203,,,,,,,,,,,,,,,,,
"Hi I am 39 years old and returned from Germany 19 days ago. Yesterday I started getting a sore throat, runny nose. Today I have sinus pressure and a headache with a blocked nose, throat seems to be improving. Should I get tested. If so how?",Don't go to the doctor. You can get this easily done online. You can also try asking on this forum. It's not hard to find a test. You may need treatment with an anti-inflammatories like,"Stay home. Stay at home, rest, drink fluids and monitor your temperature. Your symptoms are more consistent with a cold or sinus infection. Nasal saline and a decongestant may be helpful. If you develop COVID symptoms including dry cough, fever, and/or shortness of breath, testing is indicated. Report fever and shortness of breath to your PCP.",0.6315789474,5.81E-232,0.1025640978,0,0.1025640978,12.9286373,,,,,,,,,,,,,,,,,
